Taxa	1_1950	3_1950	4_1950	5_1950	6_1950	9_1950	15_1950	17_1950	19_1950	20_1950	21_1950	22_1950	1000_1950	1002_1950	1003_1950	1004_1950	1005_1950	1006_1950	1007_1950	1008_1950	1009_1950	1010_1950	1012_1950	1013_1950	1014_1950	1015_1950	1016_1950	1017_1950	1018_1950	1019_1950	1020_1950	1021_1950	1023_1950	1024_1950	1025_1950	1026_1950	1027_1950	1031_1950	1032_1950	1033_1950	1034_1950	1035_1950	1040_1950	1041_1950	1045_1950	1055_1950	1064_1950	1067_1950	1070_1950	1073_1950	1084_1950	1085_1950	1086_1950	1087_1950	1088_1950	1089_1950	1090_1950	1091_1950	1093_1950	1095_1950	1096_1950	1099_1950	1100_1950	1101_1950	1103_1950	1104_1950	1106_1950	1107_1950	1108_1950	1109_1950	1110_1950	1111_1950	1112_1950	1114_1950	1117_1950	1118_1950	1119_1950	1120_1950	1122_1950	1123_1950	1127_1950	1150_1950	1151_1950	1181_1950	1185_1950	1230_1950	1233_1950	3034_1950	3035_1950	3040_1950	3041_1950	3042_1950	3050_1950	3051_1950	3053_1950	3055_1950	3058_1950	3059_1950	3060_1950	3062_1950	3063_1950	3064_1950	3076_1950	3077_1950	3079_1950	3081_1950	3083_1950	3085_1950	3087_1950	3088_1950	3090_1950	3091_1950	3092_1950	3094_1950	3095_1950	3096_1950	3097_1950	3099_1950	3100_1950	3101_1950	3102_1950	3103_1950	3104_1950	3105_1950	3107_1950	3111_1950	3113_1950	3117_1950	3119_1950	3121_1950	3122_1950	3123_1950	3124_1950	3125_1950	3126_1950	3130_1950	3132_1950	3133_1950	3134_1950	3135_1950	3138_1950	3139_1950	3140_1950	3143_1950	3144_1950	3145_1950	3146_1950	3147_1950	3148_1950	3149_1950	3153_1950	3154_1950
Thalictrum_dioicum	1	0	0	2	0	16	2	2	2	1	16	0	1	1	0	0	2	0	0	7	4	0	5	4	0	1	0	0	0	8	8	0	0	1	0	5	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	8	8	0	4	1	0	1	0	1	0	0	2	0	3	2	0	0	9	3	0	0	0	3	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	4	0	3	7	10	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	4	2	0	0	0
Aster_sagittifolius	4	1	0	2	0	0	0	0	1	0	2	3	0	0	0	1	7	0	0	0	4	2	2	1	3	0	8	3	0	0	1	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	4	2	0	0	0	1	4	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	5	2	0	0
Trillium_grandiflorum	0	2	5	7	3	4	1	2	3	0	1	2	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	5	1	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	7	2	6	0	2	10	1	3	5	2	2	4	7	12	1	10	8	1	5	13	13	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	5	5	0	0	0	0
Pyrola_elliptica	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	3	5	0	0	0	0	0	0	2	1	5	0	2	0	7	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1	4	0	0	0	0	1	0	2	0	0	0	2	4	0	0	0	0	0	0	0	3	1	1	2	3	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	5	4	0	0	1	0	0	1	1	1	1	4	1	4	1	0	0
Podophyllum_peltatum	1	1	0	4	1	0	0	0	0	1	0	2	5	0	0	2	1	1	1	0	2	2	2	2	6	4	0	5	8	2	3	0	0	0	0	0	0	7	4	7	3	4	1	0	0	0	6	2	0	0	5	0	7	1	0	1	0	1	2	0	4	0	0	2	2	0	4	1	8	2	0	0	1	0	0	0	0	0	0	0	0	0	0	7	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubus_idaeus	0	1	0	0	0	0	1	0	0	0	0	0	0	3	7	2	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	2	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	7	6	0	1	2	2	2	0	2	0	0	0	8	6	11	6	8	6	7	1	0	0	0	7	2	0	0	1	6	0	0	1	6	11	0	2	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Streptopus_roseus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	1	0	0	2	2	3	1	1	0	0	3	7	0	0	0	0	2	0	2	8	3	1	0	3	0	0	1	2	2	4	7	5	0	8	7	11	2	7	4	6	10	3	1	1	5	2	4	1	1	1	5	5	2	0	3	0	5	3
Trientalis_borealis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	9	0	0	0	1	4	6	11	0	0	5	0	0	4	0	0	7	12	2	0	0	0	3	0	8	2	3	5	2	1	0	0	3	0	0	1	5	3	2	7	2	2	0	8	0	1	2	7	11	0	5	0	8	9	7	11	4	1	10	8	0	8	5	0
Vitis_riparia	0	4	0	0	1	0	1	0	0	1	3	1	0	0	0	2	1	1	0	1	2	0	1	0	2	0	1	4	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	1	2	0	1	0	4	0	3	0	4	0	3	4	0	1	5	2	1	0	0	0	0	5	1	0	2	11	0	0	0	1	1	1	4	1	1	0	0	3	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachyelytrum_erectum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	2	0	0	0	1	0	1	0	3	0	1	1	0	2	5	0	0	0	0	0	0	3	0	1	0	0	0	2	1	0	0	2	0	1	9	0	4	0	0	4	0	1	0	1	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	2	4	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	1	2	0	0	0	2	1	0	0	1	2	0	0	2	1	1	0	0	0	3
Ribes_cynosbatii	0	1	0	0	0	0	1	0	1	0	1	2	0	0	0	0	1	2	2	0	3	2	1	0	1	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	3	0	0	0	2	0	0	2	1	0	0	0	4	1	3	0	0	1	0	0	0	2	0	0	2	0	1	0	2	1	2	0	0	0	0	0	1	1	2	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celastrus_scandens	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	6	0	2	0	1	2	2	0	3	4	0	0	0	0	0	8	1	1	0	0	0	0	0	0	0	0	4	0	1	3	2	3	1	0	0	0	2	5	0	9	0	0	7	3	0	0	1	5	0	1	1	3	1	1	2	0	0	4	1	0	1	8	3	0	0	0	2	0	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Diervilla_lonicera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	0	0	1	0	0	0	0	0	0	0	0	2	0	7	10	3	1	2	0	1	3	0	0	9	0	1	14	0	2	0	0	0	0	0	8	0	0	6	0	1	1	0	4	0	2	6	2	0	9	1	0	0	0	0	0	0	0	1	12	0	0	0	0	2	8	2	0	0	12	1	9	5	0	0
Corylus_cornuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	5	12	10	0	9	9	0	0	10	0	10	7	3	0	0	0	0	4	0	9	1	0	2	3	2	7	2	8	0	5	11	7	1	4	4	0	0	0	1	0	0	0	7	3	1	0	1	2	1	9	3	2	0	5	3	10	3	12	0
Prenanthes_alba	0	1	0	0	0	4	0	0	0	0	5	0	2	1	0	1	0	0	0	2	3	2	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	0	1	0	2	1	2	0	0	0	1	0	1	2	2	1	0	0	0	1	0	3	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0
Oryzopsis_asperifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	8	0	2	0	0	1	2	0	14	0	1	9	0	2	6	1	8	0	4	11	8	5	10	12	0	1	0	3	3	1	3	12	4	1	1	0	1	3	15	0	0	1	11	7	15	6	19	7
Geum_canadense	1	5	1	0	3	1	2	3	2	0	0	6	2	0	3	4	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	3	1	0	2	0	0	1	1	6	10	0	0	3	0	1	0	0	0	0	0	0	0	3	0	1	2	1	0	0	4	4	8	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apocynum_androsaemifolium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0	3	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0
Helianthus_strumosus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	4	1	0	0	4	9	1	0	0	4	0	2	0	1	0	0	0	0	0	0	1	5	0	0	0	0	4	0	0	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	1	6	1	1	0	3	7	2	8	0	4	0	12	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitella_diphylla	0	0	0	1	0	1	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	5	0	2	8	0	1	5	0	4	2	0	4	3	0	0	0	0	0	0	0	1	0	0	16	9	0	0	6	0	0	0	0	0	0	7	4	2	0	0	0	0	0
Smilax_ecirrhata	0	0	0	0	0	1	0	1	4	0	1	1	1	0	0	1	0	1	0	1	3	1	0	2	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uvularia_sessilifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	1	0	0	0	1	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8	0	12	9	6	6	0	4	0	1	1	1	0	1	5	7	7	1	0	11	0	0	5	0	1	1	1	0	5	8	4	2
Clintonia_borealis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	3	3	0	1	0	0	4	10	0	0	0	0	1	0	6	0	1	4	0	1	0	0	5	0	0	0	8	3	0	2	11	0	0	3	2	0	0	2	1	0	4	1	14	17	0	2	5	0	4	2	4	2	0	3
Galium_aparine	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	3	3	6	0	0	6	0	20	19	20	20	20	14	0	0	0	4	13	0	0	11	0	17	1	6	0	0	1	4	0	7	0	0	1	0	0	0	14	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lycopodium_obscurum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5	1	0	2	3	2	11	0	3	2	0	0	0	0	1	0	0	8	0	1	1	0	1	0	0	2	0	1	3	12	4	1	11	0	0	0	0	1	1	0	0	0	0	0	1	5	5	0	5	0	0	2	1	2	2	0	0
Rosa_sp	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	2	0	1	0	4	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allium_tricoccum	0	2	0	4	0	0	0	5	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	0	0	0	1	2	0	2	0	6	0	0	1	1	1	3	1	0	0	0	0	1	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	5	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrophyllum_virginianum	0	0	0	1	0	4	0	2	5	0	2	0	3	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	3	0	0	0	1	0	0	1	13	1	15	7	6	0	0	0	0	0	2	0	12	0	6	1	11	0	0	8	1	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubus_hispidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	4	4	1	0	0	2	5	0	0	0	0	0	1	0	2	0	0	3	0	2	1	0	1	0	2	6	2	1	1	2	0	3	0	3	0	0	0	0	0	0	0	2	0	2	4	0	0	0	1	2	3	2	0	2
Anemone_acutiloba	0	0	0	4	0	3	0	0	0	1	10	0	0	0	0	0	1	0	0	4	0	0	0	11	0	0	0	0	0	0	14	0	0	0	8	0	0	0	7	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	14	0	0	5	1	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	7	0	0	7	0	0	0	0	2	0	2	2	0	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aster_shortii	0	0	0	5	1	4	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	6	0	0	0	0	0	6	1	0	0	1	0	0	1	2	13	6	2	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dryopteris_carthusiana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	1	0	0	0	0	2	6	0	0	0	0	2	0	9	0	7	1	0	0	2	4	0	0	0	0	0	0	0	0	0	3	5	0	0	0	10	2	1	4	2	2	0	1	2	8	7	3	1	0	3	7	0	0	0	0	0	0	0
Impatiens_pallida	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	2	8	2	17	0	0	0	0	7	0	1	0	4	0	10	6	6	2	0	0	0	0	9	0	4	1	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	4	0	0	0	0	0	0	0
Mitchella_repens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	2	1	0	0	1	0	0	3	0	0	0	12	7	2	0	1	0	8	7	0	5	0	17	10	0	0	0	0	1	0	0	0	10	7	0	0	2	4	4	0	3	0	0	0	0	0	4	2	0	4	1	2	4	0	0	0	0	0	0	5
Solidago_ulmifolia	0	0	0	6	2	1	0	0	0	1	4	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	13	0	0	10	0	0	5	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	9	8	1	0	4	0	0	0	0	0	0	4	0	0	0	3	5	2	0	7	2	1	0	2	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viola_blanda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	3	1	4	0	9	0	3	0	1	0	2	3	3	0	1	1	5	3	1	3	1	0	0	2	1
Amelanchier_sp	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3	0	1	0	0	3	4	0	2	0	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
Crataegus_sp	3	9	6	2	2	0	10	9	1	0	0	5	1	0	0	0	1	0	0	1	0	1	3	2	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptotaenia_canadensis	0	0	0	5	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	3	6	0	0	2	0	0	0	0	3	2	7	4	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	7	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dioscorea_villosa	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	4	0	2	1	0	5	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	1	0	0	0	1	0	0	2	1	1	0	0	0	3	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gaultheria_procumbens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	8	18	0	10	10	0	0	3	0	12	7	0	5	0	0	0	0	0	0	1	0	2	0	4	0	0	4	0	0	0	1	0	15	1	0	0	0	0	1	0	0	9	14	0	0	0	2	4	1	0	0	0	2	0	11	19	2	3
